No	Player	NULL	NULL	NULL	NULL	100	50	0	Test
1	SR Tendulkar#(India)	200	329	33	15921	51	68	14	Test
2	RT Ponting#(Aus)	168	287	29	13378	41	62	17	Test
3	JH Kallis#(ICC/SA)	166	280	40	13289	45	58	16	Test
4	R Dravid#(ICC/India)	164	286	32	13288	36	63	8	Test
5	KC Sangakkara#(SL)	134	233	17	12400	38	52	11	Test
6	BC Lara#(ICC/WI)	131	232	6	11953	34	48	17	Test
7	S Chanderpaul#(WI)	164	280	49	11867	30	66	15	Test
8	DPMD Jayawardene#(SL)	149	252	15	11814	34	50	15	Test
9	AR Border#(Aus)	156	265	44	11174	27	63	11	Test
10	SR Waugh#(Aus)	168	260	46	10927	32	50	22	Test
11	SM Gavaskar#(India)	125	214	16	10122	34	45	12	Test
12	AN Cook#(Eng)	127	227	12	9980	28	47	8	Test
13	GC Smith#(ICC/SA)	117	205	13	9265	27	38	11	Test
14	Younis Khan#(Pak)	104	186	17	9116	31	30	16	Test
15	GA Gooch#(Eng)	118	215	6	8900	20	46	13	Test
16	Javed Miandad#(Pak)	124	189	21	8832	23	43	6	Test
17	Inzamam-ul-Haq#(ICC/Pak)	120	200	22	8830	25	46	15	Test
18	VVS Laxman#(India)	134	225	34	8781	17	56	14	Test
19	MJ Clarke#(Aus)	115	198	22	8643	28	27	9	Test
20	ML Hayden#(Aus)	103	184	14	8625	30	29	14	Test
21	V Sehwag#(ICC/India)	104	180	6	8586	23	32	16	Test
22	IVA Richards#(WI)	121	182	12	8540	24	45	10	Test
23	AJ Stewart#(Eng)	133	235	21	8463	15	45	14	Test
24	DI Gower#(Eng)	117	204	18	8231	18	39	7	Test
25	KP Pietersen#(Eng)	104	181	8	8181	23	35	10	Test
26	G Boycott#(Eng)	108	193	23	8114	22	42	10	Test
27	AB de Villiers#(SA)	106	176	16	8074	21	39	7	Test
28	GS Sobers#(WI)	93	160	21	8032	26	30	12	Test
29	ME Waugh#(Aus)	128	209	17	8029	20	47	19	Test
30	MA Atherton#(Eng)	115	212	7	7728	16	46	20	Test
31	IR Bell#(Eng)	118	205	24	7727	22	46	14	Test
32	JL Langer#(Aus)	105	182	12	7696	23	30	11	Test
33	MC Cowdrey#(Eng)	114	188	15	7624	22	38	9	Test
34	CG Greenidge#(WI)	108	185	16	7558	19	34	11	Test
35	Mohammad Yousuf#(Pak)	90	156	12	7530	24	33	11	Test
36	MA Taylor#(Aus)	104	186	13	7525	19	40	5	Test
37	CH Lloyd#(WI)	110	175	14	7515	19	39	4	Test
38	DL Haynes#(WI)	116	202	25	7487	18	39	10	Test
39	DC Boon#(Aus)	107	190	20	7422	21	32	16	Test
40	HM Amla#(SA)	92	156	13	7358	25	29	8	Test
41	G Kirsten#(SA)	101	176	15	7289	21	34	13	Test
42	WR Hammond#(Eng)	85	140	16	7249	22	24	4	Test
43	CH Gayle#(WI)	103	182	11	7214	15	37	15	Test
44	SC Ganguly#(India)	113	188	17	7212	16	35	13	Test
45	SP Fleming#(NZ)	111	189	10	7172	9	46	16	Test
46	GS Chappell#(Aus)	87	151	19	7110	24	31	12	Test
47	AJ Strauss#(Eng)	100	178	6	7037	21	27	15	Test
48	DG Bradman#(Aus)	52	80	10	6996	29	13	7	Test
49	ST Jayasuriya#(SL)	110	188	14	6973	14	31	15	Test
50	L Hutton#(Eng)	79	138	15	6971	19	33	5	Test
51	DB Vengsarkar#(India)	116	185	22	6868	17	35	15	Test
52	KF Barrington#(Eng)	82	131	15	6806	20	35	5	Test
53	GP Thorpe#(Eng)	100	179	28	6744	16	39	12	Test
54	BB McCullum#(NZ)	101	176	9	6453	12	31	14	Test
55	PA de Silva#(SL)	93	159	11	6361	20	22	7	Test
56	MEK Hussey#(Aus)	79	137	16	6235	19	29	12	Test
57	RB Kanhai#(WI)	79	137	6	6227	15	28	7	Test
58	M Azharuddin#(India)	99	147	9	6215	22	21	5	Test
59	HH Gibbs#(SA)	90	154	7	6167	14	26	11	Test
60	RN Harvey#(Aus)	79	137	10	6149	21	24	7	Test
61	GR Viswanath#(India)	91	155	10	6080	14	35	10	Test
61	RB Richardson#(WI)	86	146	12	5949	16	27	8	Test
63	RR Sarwan#(WI)	87	154	8	5842	15	31	12	Test
64	ME Trescothick#(Eng)	76	143	10	5825	14	29	12	Test
65	DCS Compton#(Eng)	78	131	15	5807	17	28	10	Test
66	Saleem Malik#(Pak)	103	154	22	5768	15	29	12	Test
67	N Hussain#(Eng)	96	171	16	5764	14	33	14	Test
68	CL Hooper#(WI)	102	173	15	5762	13	27	13	Test
69	MP Vaughan#(Eng)	82	147	9	5719	18	18	9	Test
70	AC Gilchrist#(Aus)	96	137	20	5570	17	26	14	Test
71	MV Boucher#(ICC/SA)	147	206	24	5515	5	35	17	Test
72	MS Atapattu#(SL)	90	156	15	5502	16	17	22	Test
73	TM Dilshan#(SL)	87	145	11	5492	16	23	14	Test
74	TT Samaraweera#(SL)	81	132	20	5462	14	30	11	Test
75	MD Crowe#(NZ)	77	131	11	5444	17	18	9	Test
76	JB Hobbs#(Eng)	61	102	7	5410	15	28	4	Test
77	KD Walters#(Aus)	74	125	14	5357	15	33	4	Test
78	IM Chappell#(Aus)	75	136	10	5345	14	26	11	Test
79	JG Wright#(NZ)	82	148	7	5334	12	23	7	Test
80	MJ Slater#(Aus)	74	131	7	5312	14	21	9	Test
81	N Kapil Dev#(India)	131	184	15	5248	8	27	16	Test
82	WM Lawry#(Aus)	67	123	12	5234	13	27	6	Test
83	LRPL Taylor#(NZ)	69	127	12	5232	13	24	9	Test
84	IT Botham#(Eng)	102	161	6	5200	14	22	14	Test
85	JH Edrich#(Eng)	77	127	9	5138	12	24	6	Test
86	A Ranatunga#(SL)	93	155	12	5105	4	38	12	Test
87	Zaheer Abbas#(Pak)	78	124	11	5062	12	20	10	Test
88	SR Tendulkar#(India)	463	452	41	18426	49	96	20	ODI
89	KC Sangakkara#(SL)	404	380	41	14234	25	93	15	ODI
90	RT Ponting#(Aus)	375	365	39	13704	30	82	20	ODI
91	ST Jayasuriya#(SL)	445	433	18	13430	28	68	34	ODI
92	DPMD Jayawardene#(SL)	448	418	39	12650	19	77	28	ODI
93	Inzamam-ul-Haq#(Pak)	378	350	53	11739	10	83	20	ODI
94	JH Kallis#(SA)	328	314	53	11579	17	86	17	ODI
95	SC Ganguly#(India)	311	300	23	11363	22	72	16	ODI
96	R Dravid#(India)	344	318	40	10889	12	83	13	ODI
97	BC Lara#(WI)	299	289	32	10405	19	63	16	ODI
98	TM Dilshan#(SL)	327	300	41	10216	22	47	11	ODI
99	Mohammad Yousuf#(Pak)	288	273	40	9720	15	64	15	ODI
100	AC Gilchrist#(Aus)	287	279	11	9619	16	55	19	ODI
101	M Azharuddin#(India)	334	308	54	9378	7	58	9	ODI
102	PA de Silva#(SL)	308	296	30	9284	11	64	17	ODI
103	CH Gayle#(WI)	269	264	17	9221	22	47	23	ODI
104	MS Dhoni#(India)	275	241	67	8918	9	60	8	ODI
105	Saeed Anwar#(Pak)	247	244	19	8824	20	43	15	ODI
106	S Chanderpaul#(WI)	268	251	40	8778	11	59	6	ODI
107	DL Haynes#(WI)	238	237	28	8648	17	57	13	ODI
108	AB de Villiers#(SA)	200	192	34	8621	24	48	6	ODI
109	MS Atapattu#(SL)	268	259	32	8529	11	59	13	ODI
110	ME Waugh#(Aus)	244	236	20	8500	18	50	16	ODI
111	Yuvraj Singh#(India)	293	268	39	8329	13	51	18	ODI
112	V Sehwag#(India)	251	245	9	8273	15	38	14	ODI
113	HH Gibbs#(SA)	248	240	16	8094	21	37	22	ODI
114	Shahid Afridi#(Pak)	398	369	27	8064	6	39	30	ODI
115	SP Fleming#(NZ)	280	269	21	8037	8	49	17	ODI
116	MJ Clarke#(Aus)	245	223	44	7981	8	58	10	ODI
117	SR Waugh#(Aus)	325	288	58	7569	3	45	15	ODI
118	A Ranatunga#(SL)	269	255	47	7456	4	49	18	ODI
119	Javed Miandad#(Pak)	233	218	41	7381	8	50	8	ODI
120	Younis Khan#(Pak)	265	255	23	7249	7	48	22	ODI
121	V Kohli#(India)	171	163	23	7212	25	36	10	ODI
122	Saleem Malik#(Pak)	283	256	38	7170	5	47	19	ODI
123	NJ Astle#(NZ)	223	217	14	7090	16	41	19	ODI
124	GC Smith#(SA)	197	194	10	6989	10	47	8	ODI
125	MG Bevan#(Aus)	232	196	67	6912	6	46	5	ODI
126	G Kirsten#(SA)	185	185	19	6798	13	45	11	ODI
127	A Flower#(Zim)	213	208	16	6786	4	55	13	ODI
128	IVA Richards#(WI)	187	167	24	6721	11	45	7	ODI
129	GW Flower#(Zim)	221	214	18	6571	6	40	18	ODI
130	Ijaz Ahmed#(Pak)	250	232	29	6564	10	37	14	ODI
131	AR Border#(Aus)	273	252	39	6524	3	39	11	ODI
132	RB Richardson#(WI)	224	217	30	6248	5	44	8	ODI
133	HM Amla#(SA)	131	128	9	6204	22	29	3	ODI
134	ML Hayden#(Aus)	161	155	15	6133	10	36	9	ODI
135	Shoaib Malik#(Pak)	232	209	31	6129	8	35	13	ODI
136	BB McCullum#(NZ)	260	228	28	6083	5	32	20	ODI
137	DM Jones#(Aus)	164	161	25	6068	7	46	6	ODI
138	DC Boon#(Aus)	181	177	16	5964	5	37	6	ODI
139	JN Rhodes#(SA)	245	220	51	5935	2	33	12	ODI
140	Rameez Raja#(Pak)	198	197	15	5841	9	31	15	ODI
141	RR Sarwan#(WI)	181	169	33	5804	5	38	8	ODI
142	CL Hooper#(WI)	227	206	43	5761	7	29	7	ODI
143	SR Watson#(Aus)	190	169	27	5757	9	33	12	ODI
144	LRPL Taylor#(NZ)	171	157	27	5707	15	32	8	ODI
145	SK Raina#(India)	223	192	35	5568	5	36	14	ODI
146	WJ Cronje#(SA)	188	175	31	5565	2	39	8	ODI
147	MEK Hussey#(Aus)	185	157	44	5442	3	39	3	ODI
148	IR Bell#(Eng)	161	157	14	5416	4	35	6	ODI
149	WU Tharanga#(SL)	180	172	9	5407	13	28	14	ODI
150	A Jadeja#(India)	196	179	36	5359	6	30	10	ODI
151	Mohammad Hafeez#(Pak)	175	175	10	5356	11	28	16	ODI
152	DR Martyn#(Aus)	208	182	51	5346	5	37	10	ODI
153	BRM Taylor#(Zim)	167	166	15	5258	8	32	13	ODI
154	G Gambhir#(India)	147	143	11	5238	11	34	11	ODI
155	ADR Campbell#(Zim)	188	184	14	5185	7	30	11	ODI
156	RS Mahanama#(SL)	213	198	23	5162	4	35	15	ODI
157	CG Greenidge#(WI)	128	127	13	5134	11	31	3	ODI
158	Misbah-ul-Haq#(Pak)	162	149	31	5122	0	42	6	ODI
159	PD Collingwood#(Eng)	197	181	37	5092	5	26	7	ODI
160	A Symonds#(Aus)	198	161	33	5088	6	30	15	ODI
161	Abdul Razzaq#(Pak)	265	228	57	5080	3	23	14	ODI
162	RG Sharma#(India)	148	142	23	5008	10	28	10	ODI
163	BB McCullum#(NZ)	71	70	10	2140	2	13	3	T20
164	TM Dilshan#(SL)	78	77	12	1884	1	13	10	T20
165	MJ Guptill#(NZ)	61	59	7	1806	1	10	2	T20
166	Umar Akmal#(Pak)	79	76	13	1689	0	8	8	T20
167	JP Duminy#(SA)	70	64	21	1654	0	9	6	T20
168	V Kohli#(India)	43	40	12	1641	0	16	0	T20
169	DA Warner#(Aus)	61	61	3	1633	0	12	5	T20
170	Mohammad Hafeez#(Pak)	77	75	4	1614	0	9	5	T20
171	CH Gayle#(WI)	50	47	4	1519	2	13	2	T20
172	DPMD Jayawardene#(SL)	55	55	8	1493	1	9	4	T20
173	Shoaib Malik#(Pak)	78	74	19	1468	0	5	1	T20
174	SR Watson#(Aus)	58	56	6	1462	1	10	3	T20
175	Shahid Afridi#(Pak)	98	90	12	1405	0	4	8	T20
176	EJG Morgan#(Eng)	62	61	12	1399	0	7	3	T20
177	KC Sangakkara#(SL)	56	53	9	1382	0	8	2	T20
178	AB de Villiers#(SA)	71	68	10	1368	0	8	5	T20
179	Mohammad Shahzad#(Afg)	48	48	2	1367	1	9	3	T20
180	H Masakadza#(Zim)	47	47	2	1363	0	10	0	T20
181	RG Sharma#(India)	60	53	11	1292	1	10	3	T20
182	LRPL Taylor#(NZ)	73	65	13	1256	0	5	4	T20
183	AD Hales#(Eng)	44	44	5	1220	1	7	4	T20
184	SK Raina#(India)	62	52	11	1203	1	3	2	T20
185	KP Pietersen#(Eng)	37	36	5	1176	0	7	1	T20
186	Tamim Iqbal#(Ban)	52	52	5	1154	1	4	3	T20
187	Yuvraj Singh#(India)	55	48	9	1134	0	8	1	T20
188	MN Samuels#(WI)	46	44	6	1133	0	9	0	T20
189	Shakib Al Hasan#(Ban)	54	54	8	1103	0	6	4	T20
190	F du Plessis#(SA)	35	35	6	1093	1	7	0	T20
191	DJ Bravo#(WI)	61	54	11	1054	0	3	4	T20
192	Ahmed Shehzad#(Pak)	44	44	2	1049	1	5	2	T20
193	MS Dhoni#(India)	68	60	31	1041	0	0	1	T20
194	HM Amla#(SA)	37	37	5	1008	0	5	1	T20
195	CL White#(Aus)	47	44	14	984	0	5	3	T20
196	GC Smith#(SA)	33	33	2	982	0	5	1	T20
197	AD Mathews#(SL)	65	51	17	976	0	4	0	T20
198	AJ Finch#(Aus)	28	28	3	974	1	6	0	T20
199	KS Williamson#(NZ)	35	33	5	967	0	5	1	T20
200	G Gambhir#(India)	37	36	2	932	0	7	2	T20
201	Kamran Akmal#(Pak)	54	49	6	897	0	5	6	T20
202	WTS Porterfield#(Ire)	48	46	6	893	0	3	4	T20
203	LMP Simmons#(WI)	36	35	4	843	0	5	5	T20
204	JC Buttler#(Eng)	48	42	10	839	0	4	2	T20
205	DA Miller#(SA)	46	39	13	789	0	1	0	T20
206	Misbah-ul-Haq#(Pak)	39	34	13	788	0	3	2	T20
207	LJ Wright#(Eng)	51	45	5	759	0	4	9	T20
208	DJ Hussey#(Aus)	39	36	3	756	0	3	4	T20
209	PR Stirling#(Ire)	37	36	4	751	0	5	5	T20
210	KJ Coetzer#(Scot)	35	33	2	750	0	2	2	T20
